Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division,Water Company,Sewage Company
BR3 3BZ,Yes,51.378711,-0.027304,537388,166253,TQ373662,1/1/1980 12:00:00 AM,,68,3,1,"West Wickham",0.9,"Greater London","Croydon","Thames Water",""
CR0 0WZ,No,51.375716,-0.091863,532904,165801,TQ329658,1/1/2005 12:00:00 AM,2/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR0 0XB,No,51.375212,-0.099600,532367,165731,TQ323657,5/1/1994 12:00:00 AM,8/1/2016 12:00:00 AM,65,,,"Wellesley Road",0.1,"Greater London","Croydon","",""
CR0 0XD,Yes,51.375081,-0.098140,532469,165719,TQ324657,1/1/1991 12:00:00 AM,,64,,,"Wellesley Road",0.1,"Greater London","Croydon","Thames Water",""
CR0 0XF,No,51.378521,-0.098989,532400,166100,TQ324661,1/1/1991 12:00:00 AM,12/1/1995 12:00:00 AM,63,,,"West Croydon",0.2,"Greater London","Croydon","",""
CR0 0XH,No,51.375838,-0.094416,532726,165810,TQ327658,1/1/1991 12:00:00 AM,1/1/2009 12:00:00 AM,62,,,"East Croydon",0.1,"Greater London","Croydon","",""
CR0 0XJ,Yes,51.370041,-0.099573,532384,165156,TQ323651,1/1/1991 12:00:00 AM,,59,,,"George Street",0.4,"Greater London","Croydon","SES Water",""
CR0 0XL,No,51.381356,-0.107494,531800,166400,TQ318663,1/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,48,,,"West Croydon",0.5,"Greater London","Croydon","",""
CR0 0XT,Yes,51.374947,-0.091036,532964,165717,TQ329657,1/1/1991 12:00:00 AM,,68,,,"East Croydon",0.1,"Greater London","Croydon","Thames Water",""
CR0 0XZ,Yes,51.356521,-0.117739,531158,163620,TQ311636,1/1/1991 12:00:00 AM,,65,4,1,"Waddon",1.2,"Greater London","Croydon","Thames Water",""
CR0 0YA,No,51.371500,-0.100243,532333,165317,TQ323653,8/1/1993 12:00:00 AM,1/1/2001 12:00:00 AM,60,,,"George Street",0.3,"Greater London","Croydon","",""
CR0 0YD,No,51.372605,-0.099622,532373,165441,TQ323654,8/1/1993 12:00:00 AM,3/1/2001 12:00:00 AM,63,,,"George Street",0.2,"Greater London","Croydon","",""
CR0 0YE,No,51.374637,-0.098489,532446,165669,TQ324656,8/1/1993 12:00:00 AM,2/1/2010 12:00:00 AM,64,,,"George Street",0.1,"Greater London","Croydon","Thames Water",""
CR0 0YF,No,51.374949,-0.096709,532569,165707,TQ325657,8/1/1993 12:00:00 AM,6/1/2000 12:00:00 AM,67,,,"Wellesley Road",0.1,"Greater London","Croydon","",""
CR0 0YG,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,65,,,"Waddon",1.2,"Greater London","Croydon","",""
CR0 0YH,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,65,,,"Waddon",1.2,"Greater London","Croydon","",""
CR0 0YJ,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,65,,,"Waddon",1.2,"Greater London","Croydon","",""
CR0 0YL,No,51.356355,-0.118579,531100,163600,TQ310635,8/1/1993 12:00:00 AM,6/1/1999 12:00:00 AM,65,,,"Waddon",1.2,"Greater London","Croydon","",""
CR0 0YN,Yes,51.373991,-0.095803,532635,165602,TQ326656,8/1/1993 12:00:00 AM,,64,,,"Wellesley Road",0.2,"Greater London","Croydon","Thames Water",""
