Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
SE21 7AA,Yes,51.434204,-0.085226,533196,172317,TQ331723,"Greater London","Southwark","Dulwich Wood",E09000028,E05011101,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",11,0,"Greater London","Southwark","Southwark 033B","Urban major conurbation",London,50,3,E01003946,,E02000839,"Sydenham Hill",E43000218,E00019876,E14000673,16984,1,1,2022-11-26,"Sydenham Hill",0.376898,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWM7+MW,56500,"","London","Inner London - East","Lewisham and Southwark","10013530666,10013530667,10013530668,10093341147,200003434058",34.473
SE21 7AB,Yes,51.442419,-0.088235,532963,173225,TQ329732,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",14,4,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,38,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.237825,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWR6+XP,76600,"","London","Inner London - East","Lewisham and Southwark","10000811225,10000811226,10000815071,10009796914,10015367140,10025188406,10025481833,10090287157,200003435258,200003435464,200003435465,200003435467,200003435468,200003435469,200003435470,200003435477,200003435482,200003474214,200003474540,200003474832,200003493542,200003493543,200003498453",34.6285
SE21 7AD,Yes,51.445632,-0.086749,533057,173585,TQ330735,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",10,4,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,33,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.59074,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+78,76600,"","London","Inner London - East","Lewisham and Southwark","10009790997,10009795711,10025188468,200003434914,200003435179,200003435265,200003435462,200003435472,200003435474,200003435484,200003435485,200003493541,200003493544,200003498455",34.5117
SE21 7AE,Yes,51.446549,-0.086192,533093,173688,TQ330736,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,34,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,1,2022-11-26,"West Dulwich",0.699074,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+JG,76600,"","London","Inner London - East","Lewisham and Southwark","200003434059",34.4698
SE21 7AF,Yes,51.448007,-0.088477,532930,173846,TQ329738,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",50,17,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,30,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.720503,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX6+6J,76600,"","London","Inner London - East","Lewisham and Southwark","10009789471,10009789767,10025482523,10094744340,200003434063,200003434064,200003434065,200003434066,200003434067,200003434068,200003434069,200003434070,200003434071,200003434072,200003434073,200003434074,200003434075,200003434076,200003434077,200003434078,200003434079,200003435471",34.6234
SE21 7AG,Yes,51.448352,-0.088146,532952,173885,TQ329738,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",67,21,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,30,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020498,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.68131,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX6+8P,76600,"","London","Inner London - East","Lewisham and Southwark","10015273418,200003434080,200003434081,200003434082,200003434083,200003434084,200003434085,200003434086,200003434087,200003434088,200003434089,200003434090,200003434091,200003434092,200003434093,200003434094,200003434095,200003434096,200003434097,200003434098,200003434099,200003434100",34.5995
SE21 7AH,No,51.449351,-0.085974,533100,174000,TQ331739,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,1995-12-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,30,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,8,1,2022-11-26,"North Dulwich",0.585808,SE,SE21,"Metropolitan Police","",9C3XCWX7+PJ,76600,"","London","Inner London - East","Lewisham and Southwark","",34.4465
SE21 7AJ,Yes,51.449487,-0.085494,533133,174016,TQ331740,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",37,12,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,31,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,1,0,2022-11-26,"North Dulwich",0.579848,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX7+QR,76600,"","London","Inner London - East","Lewisham and Southwark","10000810787,10009789367,10009790593,10009803417,10090283105,10094087608,10094746087,200003435180,200003435181,200003435182,200003435183,200003435184,200003435185,200003435186,200003435187,200003435188,200003435274,200003435437,200003435446,200003435449,200003435452,200003435461",34.4129
SE21 7AL,Yes,51.451626,-0.087088,533016,174251,TQ330742,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",51,18,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,29,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020498,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.322493,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW27+M5,76600,"","London","Inner London - East","Lewisham and Southwark","10000810786,10013532015,10026077377,10090283520,10090285081,10093340127,10093340182,200003435189,200003435190,200003435191,200003435192,200003435193,200003435194,200003435195,200003435196,200003435197,200003435198,200003435199,200003435200,200003435201,200003435202,200003435203,200003435204,200003435205,200003435206,200003435207,200003435244,200003435456",34.519
SE21 7AN,Yes,51.452368,-0.089547,532843,174329,TQ328743,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",36,12,"Greater London","Southwark","Southwark 031C","Urban major conurbation",London,29,2,E01004073,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020520,E14000673,26350,1,0,2022-11-26,"North Dulwich",0.260533,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW26+W5,76600,"","London","Inner London - East","Lewisham and Southwark","10009790245,200003434101,200003434102,200003434103,200003434104,200003434105,200003434106,200003434107,200003434108,200003434109,200003434110,200003434111,200003434112,200003434113",34.6881
